Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.00999
4096	32	1.07492
8192	32	1.73614
16384	32	2.5621
32768	32	4.2091
65536	32	7.7334
131072	32	14.8943
262144	32	29.0632
524288	32	57.3443
1048576	32	114.063
2048	64	0.874114
4096	64	0.93235
8192	64	1.09022
16384	64	1.75617
32768	64	2.73912
65536	64	4.8562
131072	64	9.17899
262144	64	17.7298
524288	64	34.872
1048576	64	69.1438
2048	128	0.810297
4096	128	0.843423
8192	128	0.954081
16384	128	1.29815
32768	128	2.114
65536	128	3.67804
131072	128	6.83094
262144	128	13.1225
524288	128	25.6921
1048576	128	50.8016
2048	256	0.769218
4096	256	0.836423
8192	256	0.922451
16384	256	1.18486
32768	256	2.01673
65536	256	3.43868
131072	256	6.32267
262144	256	12.0467
524288	256	23.4855
1048576	256	46.3587
2048	512	0.83457
4096	512	0.836704
8192	512	0.978407
16384	512	1.16795
32768	512	2.16255
65536	512	3.77526
131072	512	6.66735
262144	512	12.2083
524288	512	23.7278
1048576	512	46.7013
2048	1024	1.01711
4096	1024	1.02178
8192	1024	1.02248
16384	1024	1.40856
32768	1024	2.65368
65536	1024	4.08556
131072	1024	6.84447
262144	1024	12.5233
524288	1024	24.2461
1048576	1024	47.4672
