Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.41547
4096	32	2.40173
8192	32	2.5663
16384	32	3.12971
32768	32	4.69959
65536	32	8.16693
131072	32	15.3399
262144	32	29.5801
524288	32	58.1196
1048576	32	115.212
2048	64	1.58282
4096	64	1.69628
8192	64	1.80639
16384	64	2.13644
32768	64	2.94865
65536	64	5.02472
131072	64	9.3398
262144	64	17.9024
524288	64	35.0314
1048576	64	69.3001
2048	128	1.97469
4096	128	1.88899
8192	128	1.70868
16384	128	1.65945
32768	128	2.27732
65536	128	3.73608
131072	128	6.88186
262144	128	13.0943
524288	128	25.5787
1048576	128	50.5316
2048	256	1.87777
4096	256	2.2124
8192	256	2.32211
16384	256	2.36693
32768	256	2.76921
65536	256	3.50064
131072	256	6.31142
262144	256	11.9346
524288	256	23.199
1048576	256	45.8217
2048	512	4.26499
4096	512	3.68067
8192	512	4.18492
16384	512	3.84097
32768	512	4.58075
65536	512	5.23828
131072	512	6.61266
262144	512	12.0276
524288	512	23.2771
1048576	512	46.1762
2048	1024	7.17792
4096	1024	6.85437
8192	1024	6.8636
16384	1024	7.4557
32768	1024	7.64948
65536	1024	8.3544
131072	1024	9.7681
262144	1024	12.5633
524288	1024	23.922
1048576	1024	47.1641
