Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.02051
4096	32	1.08427
8192	32	1.74107
16384	32	2.57005
32768	32	4.2261
65536	32	7.76611
131072	32	14.9627
262144	32	29.1733
524288	32	57.6383
1048576	32	114.618
2048	64	0.879102
4096	64	0.93899
8192	64	1.09179
16384	64	1.76834
32768	64	2.75087
65536	64	4.8752
131072	64	9.21798
262144	64	17.7885
524288	64	34.9744
1048576	64	69.3321
2048	128	0.816205
4096	128	0.84751
8192	128	0.961669
16384	128	1.29984
32768	128	2.11993
65536	128	3.70065
131072	128	6.8909
262144	128	13.217
524288	128	25.8978
1048576	128	51.2466
2048	256	0.77299
4096	256	0.841987
8192	256	0.924124
16384	256	1.18593
32768	256	2.02352
65536	256	3.44927
131072	256	6.31627
262144	256	12.0414
524288	256	23.4926
1048576	256	46.3903
2048	512	0.837225
4096	512	0.840061
8192	512	0.988499
16384	512	1.16341
32768	512	2.12898
65536	512	3.69235
131072	512	6.60998
262144	512	12.0637
524288	512	23.4494
1048576	512	46.3367
2048	1024	1.02385
4096	1024	1.02449
8192	1024	1.03016
16384	1024	1.42423
32768	1024	2.64427
65536	1024	4.09719
131072	1024	6.84324
262144	1024	12.482
524288	1024	24.411
1048576	1024	47.9007
