Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.00916
4096	32	1.07336
8192	32	1.73539
16384	32	2.56309
32768	32	4.21018
65536	32	7.73702
131072	32	14.8957
262144	32	29.0443
524288	32	57.3616
1048576	32	114.025
2048	64	0.874822
4096	64	0.932244
8192	64	1.08696
16384	64	1.75523
32768	64	2.73732
65536	64	4.85915
131072	64	9.19835
262144	64	17.7429
524288	64	34.8687
1048576	64	69.1262
2048	128	0.812865
4096	128	0.841564
8192	128	0.954296
16384	128	1.29771
32768	128	2.11298
65536	128	3.67884
131072	128	6.84269
262144	128	13.1182
524288	128	25.6846
1048576	128	50.8051
2048	256	0.770415
4096	256	0.838876
8192	256	0.924565
16384	256	1.18455
32768	256	2.0171
65536	256	3.4351
131072	256	6.32091
262144	256	12.0423
524288	256	23.4916
1048576	256	46.3553
2048	512	0.833598
4096	512	0.846572
8192	512	0.977749
16384	512	1.18367
32768	512	2.15955
65536	512	3.75945
131072	512	6.67572
262144	512	12.1892
524288	512	23.6674
1048576	512	46.6542
2048	1024	1.01594
4096	1024	1.01763
8192	1024	1.02117
16384	1024	1.41023
32768	1024	2.6386
65536	1024	4.08788
131072	1024	6.87679
262144	1024	12.4889
524288	1024	24.3984
1048576	1024	47.388
