Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.02005
4096	32	1.09145
8192	32	1.74237
16384	32	2.57208
32768	32	4.22301
65536	32	7.76593
131072	32	14.9633
262144	32	29.1781
524288	32	57.6433
1048576	32	114.615
2048	64	0.88395
4096	64	0.939205
8192	64	1.09364
16384	64	1.76922
32768	64	2.75316
65536	64	4.8779
131072	64	9.22997
262144	64	17.7915
524288	64	34.9751
1048576	64	69.3527
2048	128	0.817193
4096	128	0.847867
8192	128	0.958934
16384	128	1.29844
32768	128	2.12031
65536	128	3.69729
131072	128	6.88974
262144	128	13.2152
524288	128	25.8925
1048576	128	51.2538
2048	256	0.775115
4096	256	0.840861
8192	256	0.923256
16384	256	1.18381
32768	256	2.02549
65536	256	3.44612
131072	256	6.32833
262144	256	12.0397
524288	256	23.4952
1048576	256	46.3807
2048	512	0.838484
4096	512	0.839631
8192	512	0.984896
16384	512	1.18005
32768	512	2.1408
65536	512	3.68606
131072	512	6.6212
262144	512	12.0963
524288	512	23.4903
1048576	512	46.3843
2048	1024	1.02279
4096	1024	1.02654
8192	1024	1.03163
16384	1024	1.42186
32768	1024	2.66044
65536	1024	4.08076
131072	1024	6.8525
262144	1024	12.5501
524288	1024	24.1985
1048576	1024	47.941
