Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.50629
4096	32	4.70132
8192	32	5.39372
16384	32	6.14078
32768	32	7.83527
65536	32	11.2438
131072	32	17.9505
262144	32	37.383
524288	32	69.8847
1048576	32	135.202
2048	64	4.4346
4096	64	4.58092
8192	64	4.75671
16384	64	5.37627
32768	64	6.22415
65536	64	7.97639
131072	64	11.4879
262144	64	22.8884
524288	64	40.849
1048576	64	76.8978
2048	128	4.40826
4096	128	4.47791
8192	128	4.58701
16384	128	4.83357
32768	128	5.48595
65536	128	6.5244
131072	128	8.58736
262144	128	17.4096
524288	128	30.4932
1048576	128	56.2392
2048	256	4.39191
4096	256	4.497
8192	256	4.63589
16384	256	4.83757
32768	256	5.5158
65536	256	6.53265
131072	256	8.62581
262144	256	17.4528
524288	256	30.689
1048576	256	56.583
2048	512	4.48836
4096	512	4.50504
8192	512	4.70692
16384	512	4.95397
32768	512	5.63308
65536	512	6.70164
131072	512	8.88994
262144	512	18.2968
524288	512	31.8054
1048576	512	58.7124
2048	1024	4.70389
4096	1024	4.73254
8192	1024	4.75491
16384	1024	5.13652
32768	1024	6.06461
65536	1024	7.3859
131072	1024	10.0429
262144	1024	19.2878
524288	1024	33.7235
1048576	1024	62.8022
