Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.95362
4096	32	5.0388
8192	32	5.87099
16384	32	6.88125
32768	32	8.90185
65536	32	12.9378
131072	32	21.1903
262144	32	43.323
524288	32	81.4509
1048576	32	158.039
2048	64	4.9844
4096	64	5.00033
8192	64	5.0783
16384	64	6.00083
32768	64	7.04475
65536	64	9.1456
131072	64	13.359
262144	64	26.1555
524288	64	46.6239
1048576	64	87.7631
2048	128	4.94692
4096	128	4.99861
8192	128	5.07012
16384	128	5.27282
32768	128	6.09464
65536	128	7.25081
131072	128	9.62816
262144	128	19.5511
524288	128	33.8047
1048576	128	62.1736
2048	256	4.90485
4096	256	4.97719
8192	256	5.10829
16384	256	5.29812
32768	256	6.1478
65536	256	7.29348
131072	256	9.69287
262144	256	19.6933
524288	256	34.1204
1048576	256	62.8298
2048	512	4.99085
4096	512	4.95858
8192	512	5.085
16384	512	5.39257
32768	512	6.21603
65536	512	7.38317
131072	512	9.96445
262144	512	19.2368
524288	512	32.9332
1048576	512	60.6233
2048	1024	5.12293
4096	1024	5.10276
8192	1024	5.08273
16384	1024	5.46544
32768	1024	6.51993
65536	1024	7.86636
131072	1024	10.5892
262144	1024	19.916
524288	1024	34.6707
1048576	1024	63.8643
