Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	4.96759
4096	32	5.03935
8192	32	5.87662
16384	32	6.89659
32768	32	8.91287
65536	32	12.9596
131072	32	21.2298
262144	32	43.3795
524288	32	81.5637
1048576	32	158.242
2048	64	4.98861
4096	64	5.00118
8192	64	5.08559
16384	64	6.01412
32768	64	7.05272
65536	64	9.16456
131072	64	13.3755
262144	64	26.1887
524288	64	46.6513
1048576	64	87.826
2048	128	4.95136
4096	128	5.00648
8192	128	5.08011
16384	128	5.28102
32768	128	6.09707
65536	128	7.25194
131072	128	9.63867
262144	128	19.5797
524288	128	33.8285
1048576	128	62.2143
2048	256	4.9047
4096	256	5.01183
8192	256	5.11077
16384	256	5.30758
32768	256	6.15438
65536	256	7.30126
131072	256	9.70672
262144	256	19.7146
524288	256	34.1406
1048576	256	62.8564
2048	512	4.99291
4096	512	4.97902
8192	512	5.11119
16384	512	5.4028
32768	512	6.23734
65536	512	7.38786
131072	512	9.97627
262144	512	19.2451
524288	512	32.9324
1048576	512	60.6396
2048	1024	5.12526
4096	1024	5.12027
8192	1024	5.09065
16384	1024	5.47065
32768	1024	6.53337
65536	1024	7.87704
131072	1024	10.5935
262144	1024	19.9351
524288	1024	34.6843
1048576	1024	63.887
