Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.94077
4096	32	2.08584
8192	32	2.15813
16384	32	2.4449
32768	32	3.09523
65536	32	4.88211
131072	32	9.29759
262144	32	17.7424
524288	32	34.6057
1048576	32	68.3733
2048	64	1.33134
4096	64	1.33557
8192	64	1.41754
16384	64	1.57493
32768	64	1.84132
65536	64	2.80941
131072	64	4.99402
262144	64	9.45438
524288	64	18.3392
1048576	64	36.1014
2048	128	1.19255
4096	128	1.13732
8192	128	1.26469
16384	128	1.32071
32768	128	1.61738
65536	128	2.17438
131072	128	3.93965
262144	128	7.45194
524288	128	14.3953
1048576	128	28.354
2048	256	1.88242
4096	256	2.07436
8192	256	1.90105
16384	256	1.67905
32768	256	1.91698
65536	256	2.37954
131072	256	3.97009
262144	256	7.57532
524288	256	14.7716
1048576	256	29.1489
2048	512	2.0999
4096	512	2.79219
8192	512	2.56701
16384	512	2.64945
32768	512	2.93975
65536	512	3.03631
131072	512	4.3443
262144	512	7.92967
524288	512	15.4509
1048576	512	30.5148
2048	1024	3.9465
4096	1024	5.20296
8192	1024	4.74318
16384	1024	4.98366
32768	1024	5.19895
65536	1024	5.39372
131072	1024	6.07668
262144	1024	8.61237
524288	1024	16.2486
1048576	1024	32.1312
