Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	0.729064
4096	32	0.74379
8192	32	1.16723
16384	32	1.64654
32768	32	2.59694
65536	32	4.56605
131072	32	8.88846
262144	32	17.2675
524288	32	33.9254
1048576	32	67.2977
2048	64	0.587212
4096	64	0.600555
8192	64	0.645401
16384	64	1.04197
32768	64	1.53333
65536	64	2.58355
131072	64	4.8426
262144	64	9.26576
524288	64	18.1004
1048576	64	35.7676
2048	128	0.511359
4096	128	0.529497
8192	128	0.572083
16384	128	0.743561
32768	128	1.21418
65536	128	2.09053
131072	128	3.85824
262144	128	7.37114
524288	128	14.3101
1048576	128	28.2124
2048	256	0.484985
4096	256	0.524165
8192	256	0.578224
16384	256	0.73767
32768	256	1.23844
65536	256	2.13762
131072	256	3.93634
262144	256	7.52078
524288	256	14.6774
1048576	256	28.943
2048	512	0.531987
4096	512	0.533659
8192	512	0.646162
16384	512	0.79089
32768	512	1.382
65536	512	2.3127
131072	512	4.21545
262144	512	7.94389
524288	512	15.4649
1048576	512	30.5143
2048	1024	0.695313
4096	1024	0.698242
8192	1024	0.703603
16384	1024	0.962614
32768	1024	1.58685
65536	1024	2.51035
131072	1024	4.60753
262144	1024	8.41407
524288	1024	16.2907
1048576	1024	32.0136
