Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.13155
4096	32	2.35963
8192	32	2.51599
16384	32	2.94708
32768	32	4.29467
65536	32	7.40234
131072	32	14.1612
262144	32	27.3234
524288	32	53.6215
1048576	32	106.334
2048	64	1.63809
4096	64	1.63542
8192	64	1.63515
16384	64	2.08369
32768	64	2.71404
65536	64	4.54086
131072	64	8.45521
262144	64	16.1442
524288	64	31.5623
1048576	64	62.4245
2048	128	1.66863
4096	128	1.56072
8192	128	1.87235
16384	128	1.61825
32768	128	2.22285
65536	128	3.31982
131072	128	6.05512
262144	128	11.5603
524288	128	22.5621
1048576	128	44.5613
2048	256	2.51545
4096	256	2.23542
8192	256	2.22453
16384	256	2.31622
32768	256	2.7462
65536	256	3.31969
131072	256	5.61287
262144	256	10.744
524288	256	20.9082
1048576	256	41.2408
2048	512	3.58836
4096	512	3.59225
8192	512	3.65723
16384	512	3.71574
32768	512	4.46118
65536	512	4.17264
131072	512	6.18261
262144	512	10.8899
524288	512	21.2308
1048576	512	41.7473
2048	1024	7.25331
4096	1024	6.83323
8192	1024	5.3927
16384	1024	6.97633
32768	1024	7.45936
65536	1024	6.74598
131072	1024	9.49099
262144	1024	12.0492
524288	1024	22.2234
1048576	1024	44.627
