Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	0.961676
4096	32	1.00341
8192	32	1.6343
16384	32	2.40023
32768	32	3.89236
65536	32	6.99422
131072	32	13.6632
262144	32	26.6583
524288	32	52.6262
1048576	32	104.672
2048	64	0.82771
4096	64	0.869566
8192	64	0.988463
16384	64	1.62404
32768	64	2.49086
65536	64	4.33983
131072	64	8.23349
262144	64	15.9161
524288	64	31.2829
1048576	64	62.0283
2048	128	0.750219
4096	128	0.777474
8192	128	0.869315
16384	128	1.14551
32768	128	1.89549
65536	128	3.24392
131072	128	6.0219
262144	128	11.5724
524288	128	22.6641
1048576	128	44.8161
2048	256	0.723554
4096	256	0.765802
8192	256	0.843974
16384	256	1.07362
32768	256	1.84834
65536	256	3.07196
131072	256	5.60203
262144	256	10.7714
524288	256	21.0115
1048576	256	41.4921
2048	512	0.779818
4096	512	0.784987
8192	512	0.898371
16384	512	1.06348
32768	512	1.93658
65536	512	3.43228
131072	512	5.96406
262144	512	10.9313
524288	512	21.2368
1048576	512	41.9765
2048	1024	0.950636
4096	1024	0.952674
8192	1024	0.956657
16384	1024	1.32118
32768	1024	2.40358
65536	1024	3.77798
131072	1024	6.25749
262144	1024	11.5215
524288	1024	22.562
1048576	1024	44.7384
