Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	0.962557
4096	32	1.00674
8192	32	1.63883
16384	32	2.40874
32768	32	3.90766
65536	32	7.02739
131072	32	13.7411
262144	32	26.8136
524288	32	52.9102
1048576	32	105.218
2048	64	0.825828
4096	64	0.871519
8192	64	0.998125
16384	64	1.62328
32768	64	2.50134
65536	64	4.35914
131072	64	8.27672
262144	64	16.0072
524288	64	31.4431
1048576	64	62.3395
2048	128	0.750863
4096	128	0.782134
8192	128	0.875996
16384	128	1.1567
32768	128	1.90586
65536	128	3.25812
131072	128	6.04918
262144	128	11.607
524288	128	22.7533
1048576	128	45.0087
2048	256	0.723519
4096	256	0.771092
8192	256	0.845274
16384	256	1.08588
32768	256	1.84476
65536	256	3.13966
131072	256	5.61396
262144	256	10.8035
524288	256	21.0586
1048576	256	41.5796
2048	512	0.785085
4096	512	0.789399
8192	512	0.913469
16384	512	1.06636
32768	512	1.93732
65536	512	3.42504
131072	512	5.96531
262144	512	10.9548
524288	512	21.4168
1048576	512	42.0916
2048	1024	0.958463
4096	1024	0.959319
8192	1024	0.960765
16384	1024	1.32084
32768	1024	2.40926
65536	1024	3.79334
131072	1024	6.35466
262144	1024	11.6451
524288	1024	22.6426
1048576	1024	44.9793
