Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	0.962317
4096	32	1.00481
8192	32	1.63543
16384	32	2.40089
32768	32	3.89216
65536	32	6.98632
131072	32	13.6592
262144	32	26.6622
524288	32	52.6022
1048576	32	104.62
2048	64	0.828233
4096	64	0.866176
8192	64	0.989334
16384	64	1.62356
32768	64	2.48992
65536	64	4.33873
131072	64	8.23337
262144	64	15.9121
524288	64	31.2828
1048576	64	62.0245
2048	128	0.75102
4096	128	0.78064
8192	128	0.867258
16384	128	1.14615
32768	128	1.89571
65536	128	3.24568
131072	128	6.02905
262144	128	11.562
524288	128	22.6594
1048576	128	44.8129
2048	256	0.718002
4096	256	0.766001
8192	256	0.840668
16384	256	1.07464
32768	256	1.84894
65536	256	3.07054
131072	256	5.59674
262144	256	10.7709
524288	256	21.007
1048576	256	41.4905
2048	512	0.779694
4096	512	0.785345
8192	512	0.898466
16384	512	1.06319
32768	512	1.93365
65536	512	3.41168
131072	512	5.98589
262144	512	10.9434
524288	512	21.219
1048576	512	41.9492
2048	1024	0.948829
4096	1024	0.952814
8192	1024	0.954174
16384	1024	1.3207
32768	1024	2.41773
65536	1024	3.77134
131072	1024	6.27899
262144	1024	11.5883
524288	1024	22.4589
1048576	1024	44.7493
