Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	10.0153
4096	32	10.4359
8192	32	12.4691
16384	32	14.5128
32768	32	19.0977
65536	32	28.466
131072	32	59.2781
262144	32	108.085
524288	32	205.392
1048576	32	400.751
2048	64	9.92028
4096	64	10.1176
8192	64	10.5744
16384	64	12.4304
32768	64	14.9273
65536	64	20.1225
131072	64	42.727
262144	64	74.7704
524288	64	138.614
1048576	64	267.731
2048	128	9.88401
4096	128	10.088
8192	128	10.4265
16384	128	11.2526
32768	128	13.5493
65536	128	17.6987
131072	128	36.9281
262144	128	63.998
524288	128	118.768
1048576	128	227.793
2048	256	10.0052
4096	256	10.1714
8192	256	10.5246
16384	256	11.516
32768	256	13.7278
65536	256	17.8274
131072	256	37.5173
262144	256	65.054
524288	256	120.346
1048576	256	230.3
2048	512	10.4366
4096	512	10.4577
8192	512	10.7824
16384	512	11.6722
32768	512	14.1895
65536	512	18.4278
131072	512	38.2758
262144	512	66.1106
524288	512	122.847
1048576	512	235.437
2048	1024	11.3136
4096	1024	11.346
8192	1024	11.3872
16384	1024	12.8268
32768	1024	16.2152
65536	1024	21.5212
131072	1024	40.9306
262144	1024	69.8732
524288	1024	128.682
1048576	1024	246.863
