Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	10.0073
4096	32	10.4361
8192	32	12.4618
16384	32	14.5284
32768	32	19.0828
65536	32	28.425
131072	32	59.2179
262144	32	108.011
524288	32	205.294
1048576	32	400.623
2048	64	9.91004
4096	64	10.0934
8192	64	10.5351
16384	64	12.3872
32768	64	14.8932
65536	64	20.0902
131072	64	42.6707
262144	64	74.7346
524288	64	138.59
1048576	64	267.715
2048	128	9.84974
4096	128	10.0849
8192	128	10.4092
16384	128	11.2611
32768	128	13.5362
65536	128	17.663
131072	128	36.8711
262144	128	63.9365
524288	128	118.731
1048576	128	227.744
2048	256	10.0047
4096	256	10.1663
8192	256	10.51
16384	256	11.514
32768	256	13.7214
65536	256	17.8339
131072	256	37.4895
262144	256	65.0168
524288	256	120.304
1048576	256	230.259
2048	512	10.4369
4096	512	10.4452
8192	512	10.7741
16384	512	11.6721
32768	512	14.1864
65536	512	18.4201
131072	512	38.256
262144	512	66.0694
524288	512	122.821
1048576	512	235.414
2048	1024	11.3033
4096	1024	11.3449
8192	1024	11.3892
16384	1024	12.8387
32768	1024	16.2228
65536	1024	21.5096
131072	1024	40.8936
262144	1024	69.8316
524288	1024	128.627
1048576	1024	246.817
