Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.44804
4096	32	2.35959
8192	32	3.25574
16384	32	4.55341
32768	32	7.38543
65536	32	13.4786
131072	32	25.1843
262144	32	48.5973
524288	32	95.4317
1048576	32	188.986
2048	64	2.19294
4096	64	2.38751
8192	64	2.96251
16384	64	4.16904
32768	64	6.66705
65536	64	11.7332
131072	64	21.5597
262144	64	41.1051
524288	64	80.2479
1048576	64	158.388
2048	128	2.19631
4096	128	2.42069
8192	128	2.97756
16384	128	4.18293
32768	128	6.69318
65536	128	11.5931
131072	128	21.5498
262144	128	40.8723
524288	128	79.6435
1048576	128	156.984
2048	256	2.23204
4096	256	2.62722
8192	256	3.2281
16384	256	4.42462
32768	256	6.75524
65536	256	11.8221
131072	256	21.6964
262144	256	41.1517
524288	256	80.0814
1048576	256	157.595
2048	512	2.62076
4096	512	2.63092
8192	512	3.72329
16384	512	4.9084
32768	512	7.16668
65536	512	11.9371
131072	512	22.2932
262144	512	41.7531
524288	512	81.1084
1048576	512	159.516
2048	1024	3.63969
4096	1024	3.64976
8192	1024	3.66287
16384	1024	5.91683
32768	1024	8.19099
65536	1024	13.0612
131072	1024	22.7199
262144	1024	42.9083
524288	1024	82.3126
1048576	1024	161.326
