Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.57841
4096	32	2.73124
8192	32	4.0572
16384	32	5.73238
32768	32	9.25896
65536	32	17.0007
131072	32	32.1477
262144	32	62.1738
524288	32	122.371
1048576	32	242.662
2048	64	2.02039
4096	64	2.16206
8192	64	2.56176
16384	64	3.85187
32768	64	6.13262
65536	64	10.9186
131072	64	20.4081
262144	64	39.2751
524288	64	76.8812
1048576	64	152.278
2048	128	1.71691
4096	128	1.81809
8192	128	2.11248
16384	128	3.01919
32768	128	4.80741
65536	128	8.43514
131072	128	15.6807
262144	128	29.9872
524288	128	58.6195
1048576	128	115.899
2048	256	1.53485
4096	256	1.72736
8192	256	2.00128
16384	256	2.7336
32768	256	4.38936
65536	256	7.55321
131072	256	13.9641
262144	256	26.5495
524288	256	51.7306
1048576	256	102.092
2048	512	1.62233
4096	512	1.62762
8192	512	2.06525
16384	512	2.56316
32768	512	4.68023
65536	512	8.34528
131072	512	14.7967
262144	512	26.9128
524288	512	52.4535
1048576	512	102.929
2048	1024	2.03253
4096	1024	2.03986
8192	1024	2.04879
16384	1024	3.09276
32768	1024	5.46182
65536	1024	8.82865
131072	1024	14.9251
262144	1024	27.1663
524288	1024	53.1237
1048576	1024	104.491
