Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.56745
4096	32	2.72202
8192	32	4.04981
16384	32	5.7296
32768	32	9.2504
65536	32	16.9786
131072	32	32.116
262144	32	62.1436
524288	32	122.327
1048576	32	242.605
2048	64	2.01546
4096	64	2.16182
8192	64	2.55645
16384	64	3.84851
32768	64	6.11428
65536	64	10.8936
131072	64	20.3677
262144	64	39.2251
524288	64	76.8333
1048576	64	152.22
2048	128	1.71356
4096	128	1.8132
8192	128	2.1064
16384	128	3.01157
32768	128	4.79381
65536	128	8.41516
131072	128	15.6459
262144	128	29.9573
524288	128	58.5729
1048576	128	115.863
2048	256	1.52681
4096	256	1.72071
8192	256	1.99456
16384	256	2.7256
32768	256	4.37315
65536	256	7.52921
131072	256	13.9196
262144	256	26.4928
524288	256	51.6948
1048576	256	102.044
2048	512	1.61457
4096	512	1.62004
8192	512	2.05925
16384	512	2.55028
32768	512	4.61673
65536	512	8.23236
131072	512	14.725
262144	512	26.8939
524288	512	52.243
1048576	512	102.8
2048	1024	2.02686
4096	1024	2.03474
8192	1024	2.04207
16384	1024	3.09112
32768	1024	5.48249
65536	1024	8.78661
131072	1024	14.8991
262144	1024	27.119
524288	1024	52.5121
1048576	1024	104.471
