Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	9.90303
4096	32	10.306
8192	32	12.1085
16384	32	14.244
32768	32	18.6858
65536	32	27.683
131072	32	45.9704
262144	32	99.9858
524288	32	189.242
1048576	32	368.467
2048	64	9.7997
4096	64	9.97321
8192	64	10.4446
16384	64	12.2866
32768	64	14.5468
65536	64	19.4798
131072	64	29.1981
262144	64	60.1503
524288	64	109.485
1048576	64	208.017
2048	128	9.74634
4096	128	9.87382
8192	128	10.1398
16384	128	10.6896
32768	128	12.9182
65536	128	16.2067
131072	128	23.3381
262144	128	43.6222
524288	128	76.9253
1048576	128	142.568
2048	256	9.7907
4096	256	9.85218
8192	256	10.0901
16384	256	10.8379
32768	256	13.0601
65536	256	16.3571
131072	256	23.4762
262144	256	44.3328
524288	256	78.3566
1048576	256	145.758
2048	512	10.1444
4096	512	10.1339
8192	512	10.3914
16384	512	11.2581
32768	512	13.4211
65536	512	16.8447
131072	512	24.3628
262144	512	46.6893
524288	512	82.9195
1048576	512	154.746
2048	1024	10.867
4096	1024	10.9197
8192	1024	10.9553
16384	1024	12.1414
32768	1024	14.9044
65536	1024	19.1575
131072	1024	27.7347
262144	1024	54.9231
524288	1024	99.7099
1048576	1024	187.705
