Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	9.90975
4096	32	10.3086
8192	32	12.0844
16384	32	14.2425
32768	32	18.7033
65536	32	27.6939
131072	32	45.9715
262144	32	99.938
524288	32	189.183
1048576	32	368.333
2048	64	9.78425
4096	64	9.97784
8192	64	10.4353
16384	64	12.2804
32768	64	14.5407
65536	64	19.4927
131072	64	29.1922
262144	64	60.1341
524288	64	109.473
1048576	64	208.012
2048	128	9.70666
4096	128	9.89252
8192	128	10.1578
16384	128	10.6903
32768	128	12.9129
65536	128	16.2073
131072	128	23.3855
262144	128	43.6173
524288	128	76.9203
1048576	128	142.562
2048	256	9.78414
4096	256	9.84451
8192	256	10.0825
16384	256	10.8048
32768	256	13.0673
65536	256	16.3576
131072	256	23.4683
262144	256	44.3148
524288	256	78.3545
1048576	256	145.771
2048	512	10.1164
4096	512	10.1246
8192	512	10.4339
16384	512	11.2584
32768	512	13.4142
65536	512	16.866
131072	512	24.388
262144	512	46.6858
524288	512	82.9129
1048576	512	154.764
2048	1024	10.8662
4096	1024	10.9124
8192	1024	10.9505
16384	1024	12.1623
32768	1024	14.9309
65536	1024	19.1512
131072	1024	27.7211
262144	1024	54.9447
524288	1024	99.7517
1048576	1024	187.792
