Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	1.88939
4096	32	1.96793
8192	32	2.7749
16384	32	3.70438
32768	32	5.6636
65536	32	9.68587
131072	32	18.7117
262144	32	35.7292
524288	32	69.7492
1048576	32	137.836
2048	64	1.89826
4096	64	1.97218
8192	64	2.18144
16384	64	2.96729
32768	64	4.23411
65536	64	6.8733
131072	64	12.5888
262144	64	23.4895
524288	64	45.2567
1048576	64	88.8116
2048	128	1.9126
4096	128	1.99782
8192	128	2.21096
16384	128	2.88721
32768	128	4.18694
65536	128	6.7389
131072	128	12.163
262144	128	22.492
524288	128	43.0365
1048576	128	84.227
2048	256	1.95417
4096	256	2.07196
8192	256	2.34497
16384	256	2.98139
32768	256	4.21501
65536	256	6.85531
131072	256	12.2345
262144	256	22.5964
524288	256	43.2444
1048576	256	84.6295
2048	512	2.11767
4096	512	2.12422
8192	512	2.60667
16384	512	3.24749
32768	512	4.49155
65536	512	7.02914
131072	512	12.7068
262144	512	23.2543
524288	512	44.3657
1048576	512	86.8789
2048	1024	2.58527
4096	1024	2.59221
8192	1024	2.60439
16384	1024	3.75813
32768	1024	5.05026
65536	1024	7.63442
131072	1024	13.3146
262144	1024	24.6766
524288	1024	46.7467
1048576	1024	91.3741
