Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.38884
4096	32	2.50694
8192	32	3.75417
16384	32	5.24883
32768	32	8.34149
65536	32	14.722
131072	32	28.6294
262144	32	55.3173
524288	32	108.788
1048576	32	215.685
2048	64	1.86243
4096	64	1.95925
8192	64	2.26784
16384	64	3.42312
32768	64	5.25548
65536	64	9.12002
131072	64	17.1572
262144	64	32.9198
524288	64	64.4902
1048576	64	127.547
2048	128	1.56712
4096	128	1.62897
8192	128	1.86309
16384	128	2.54679
32768	128	4.03392
65536	128	6.94664
131072	128	12.8583
262144	128	24.6692
524288	128	48.1204
1048576	128	95.1353
2048	256	1.40276
4096	256	1.55499
8192	256	1.77606
16384	256	2.35187
32768	256	3.78142
65536	256	6.36252
131072	256	11.6228
262144	256	22.048
524288	256	42.9858
1048576	256	84.8152
2048	512	1.50412
4096	512	1.50933
8192	512	1.79799
16384	512	2.26925
32768	512	3.87865
65536	512	6.84712
131072	512	12.1118
262144	512	22.6949
524288	512	43.981
1048576	512	87.0666
2048	1024	1.84936
4096	1024	1.85495
8192	1024	1.86133
16384	1024	2.72617
32768	1024	4.47686
65536	1024	7.58282
131072	1024	12.9603
262144	1024	23.5685
524288	1024	45.8887
1048576	1024	90.366
