Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	32	2.39289
4096	32	2.50865
8192	32	3.74875
16384	32	5.24844
32768	32	8.34628
65536	32	14.7237
131072	32	28.6286
262144	32	55.3256
524288	32	108.786
1048576	32	215.695
2048	64	1.86467
4096	64	1.95915
8192	64	2.26842
16384	64	3.42231
32768	64	5.25971
65536	64	9.12327
131072	64	17.1619
262144	64	32.9327
524288	64	64.5106
1048576	64	127.594
2048	128	1.56729
4096	128	1.62896
8192	128	1.86472
16384	128	2.54632
32768	128	4.03655
65536	128	6.95086
131072	128	12.8634
262144	128	24.6902
524288	128	48.1362
1048576	128	95.194
2048	256	1.408
4096	256	1.55546
8192	256	1.77565
16384	256	2.35452
32768	256	3.77985
65536	256	6.36222
131072	256	11.6339
262144	256	22.0711
524288	256	43.0327
1048576	256	84.8467
2048	512	1.50416
4096	512	1.50912
8192	512	1.80543
16384	512	2.27426
32768	512	3.87976
65536	512	6.88696
131072	512	12.1175
262144	512	22.7131
524288	512	44.0041
1048576	512	87.1672
2048	1024	1.84767
4096	1024	1.85528
8192	1024	1.8627
16384	1024	2.71688
32768	1024	4.47393
65536	1024	7.5312
131072	1024	12.9436
262144	1024	23.5403
524288	1024	45.7534
1048576	1024	90.4396
