Original
BlockSize	XDimSize	Time
1024 32 0.0934999
2048 32 0.094022
4096 32 0.0960475
8192 32 0.13748
16384 32 0.198341
32768 32 0.31781
65536 32 0.563837
131072 32 1.08551
262144 32 2.14382
524288 32 4.22838
1024 64 0.0781181
2048 64 0.0786086
4096 64 0.0806389
8192 64 0.0853851
16384 64 0.131498
32768 64 0.196967
65536 64 0.334393
131072 64 0.624491
262144 64 1.2108
524288 64 2.37791
1024 128 0.0651517
2048 128 0.0664155
4096 128 0.0678259
8192 128 0.0714184
16384 128 0.0836586
32768 128 0.134133
65536 128 0.219755
131072 128 0.395453
262144 128 0.752934
524288 128 1.46601
1024 256 0.062287
2048 256 0.0622979
4096 256 0.0654548
8192 256 0.069585
16384 256 0.0813616
32768 256 0.130274
65536 256 0.21476
131072 256 0.382404
262144 256 0.731154
524288 256 1.42216
1024 512 0.0651118
2048 512 0.0651524
4096 512 0.0652201
8192 512 0.0731747
16384 512 0.0842962
32768 512 0.142688
65536 512 0.232114
131072 512 0.409948
262144 512 0.761271
524288 512 1.48593
1024 1024 0.076336
2048 1024 0.0761788
4096 1024 0.0764269
8192 1024 0.0765266
16384 1024 0.0992478
32768 1024 0.164216
65536 1024 0.264242
131072 1024 0.445333
262144 1024 0.815946
524288 1024 1.59713
Justified_Left
BlockSize	XDimSize	Time
1024 32 0.0943694
2048 32 0.0954381
4096 32 0.0969593
8192 32 0.14163
16384 32 0.203961
32768 32 0.328058
65536 32 0.582689
131072 32 1.12207
262144 32 2.21806
524288 32 4.3716
1024 64 0.079599
2048 64 0.080101
4096 64 0.0820698
8192 64 0.0875737
16384 64 0.129587
32768 64 0.194249
65536 64 0.329939
131072 64 0.616475
262144 64 1.1955
524288 64 2.34431
1024 128 0.0698151
2048 128 0.0705014
4096 128 0.0715395
8192 128 0.0745851
16384 128 0.0852324
32768 128 0.133955
65536 128 0.213389
131072 128 0.38249
262144 128 0.729214
524288 128 1.41986
1024 256 0.0654951
2048 256 0.0655078
4096 256 0.067679
8192 256 0.0710486
16384 256 0.0812989
32768 256 0.130811
65536 256 0.211787
131072 256 0.376546
262144 256 0.718834
524288 256 1.40044
1024 512 0.0696747
2048 512 0.0697034
4096 512 0.0697594
8192 512 0.0737347
16384 512 0.0835701
32768 512 0.143943
65536 512 0.230126
131072 512 0.404246
262144 512 0.750986
524288 512 1.46271
1024 1024 0.0780993
2048 1024 0.0781707
4096 1024 0.0784245
8192 1024 0.0785799
16384 1024 0.0988509
32768 1024 0.16458
65536 1024 0.264531
131072 1024 0.448035
262144 1024 0.816415
524288 1024 1.59364
Unified_IO
BlockSize	XDimSize	Time
1024 32 0.0772072
2048 32 0.0790426
4096 32 0.0801462
8192 32 0.104817
16384 32 0.14981
32768 32 0.237864
65536 32 0.420463
131072 32 0.805028
262144 32 1.5909
524288 32 3.13232
1024 64 0.0603658
2048 64 0.0618531
4096 64 0.0634405
8192 64 0.0681038
16384 64 0.0966262
32768 64 0.146007
65536 64 0.250798
131072 64 0.470072
262144 64 0.911593
524288 64 1.78535
1024 128 0.0520244
2048 128 0.0534574
4096 128 0.0550127
8192 128 0.0589378
16384 128 0.0744443
32768 128 0.106068
65536 128 0.175079
131072 128 0.317762
262144 128 0.605204
524288 128 1.17434
1024 256 0.0502027
2048 256 0.0502414
4096 256 0.0535885
8192 256 0.0583127
16384 256 0.0723394
32768 256 0.102147
65536 256 0.170201
131072 256 0.309015
262144 256 0.58777
524288 256 1.14492
1024 512 0.0530746
2048 512 0.0531073
4096 512 0.0531612
8192 512 0.0616221
16384 512 0.0701409
32768 512 0.110281
65536 512 0.187019
131072 512 0.333177
262144 512 0.612802
524288 512 1.19058
1024 1024 0.064042
2048 1024 0.0640845
4096 1024 0.0642643
8192 1024 0.0642871
16384 1024 0.0833087
32768 1024 0.127484
65536 1024 0.203059
131072 1024 0.356897
262144 1024 0.656169
524288 1024 1.28209
