Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	64	92.9275
4096	64	96.0395
8192	64	99.8607
16384	64	157.952
32768	64	286.032
65536	64	516.156
131072	64	1018.79
262144	64	2002.54
524288	64	4006.9
1048576	64	8028.56
2048	128	92.3692
4096	128	94.926
8192	128	97.4646
16384	128	157.154
32768	128	282.698
65536	128	511.396
131072	128	1008.76
262144	128	1978.03
524288	128	3943.39
1048576	128	7870.5
2048	256	92.9134
4096	256	95.5566
8192	256	125.424
16384	256	186.303
32768	256	311.171
65536	256	567.878
131072	256	1114
262144	256	2172.82
524288	256	4331.34
1048576	256	8613.7
2048	512	95.5881
4096	512	96.199
8192	512	126.016
16384	512	185.361
32768	512	309.059
65536	512	564.952
131072	512	1111.12
262144	512	2161.5
524288	512	4311.43
1048576	512	8574.49
