Num_Spatial_Points	Threads_per_Block	Time_per_timestep_(us)
2048	64	68.7973
4096	64	72.4332
8192	64	78.6376
16384	64	146.219
32768	64	288.229
65536	64	512.934
131072	64	1022.03
262144	64	2049.01
524288	64	4144.96
1048576	64	8386.38
2048	128	67.9055
4096	128	71.7903
8192	128	75.1938
16384	128	143.311
32768	128	283.848
65536	128	507.418
131072	128	1008.43
262144	128	1983.85
524288	128	3953.65
1048576	128	7875.28
2048	256	70.7589
4096	256	70.984
8192	256	135.875
16384	256	206.079
32768	256	344.686
65536	256	628.958
131072	256	1233.47
262144	256	2410.51
524288	256	4798.07
1048576	256	9549.8
2048	512	73.3735
4096	512	73.7267
8192	512	136.21
16384	512	204.519
32768	512	340.973
65536	512	623.234
131072	512	1225.61
262144	512	2384.74
524288	512	4757.97
1048576	512	9463.93
